sRGB_R,sRGB_G,sRGB_B,RGB_R,RGB_G,RGB_B,HSV_H,HSV_S,HSV_V,HSL_H,HSL_S,HSL_L,CMY_C,CMY_M,CMY_Y,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,CIERGB_R,CIERGB_G,CIERGB_B,CIEXYZ_X,CIEXYZ_Y,CIEXYZ_Z,CIExyY_x,CIExyY_y,CIExyY_Y,CIELuv_L,CIELuv_u,CIELuv_v,CIELab_L,CIELab_a,CIELab_b,CIELCh_L,CIELCh_C,CIELCh_h
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3127,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,31,0.0,0.0,0.12156863,240.0,1.0,0.12156863,240.0,1.0,0.060784314,1.0,1.0,0.8784314,1.0,1.0,0.0,0.8784314,0.0,0.0012930044,0.013142768,0.0024729627,9.891851e-4,0.013024271,0.15,0.06,9.891851e-4,0.8935272,-0.39169303,-3.8353295,0.8935272,6.1344905,-21.041613,0.8935272,21.917604,286.25357
0,0,63,0.0,0.0,0.24705882,240.0,1.0,0.24705882,240.0,1.0,0.12352941,1.0,1.0,0.7529412,1.0,1.0,0.0,0.7529412,0.0,0.0046905866,0.047677558,0.00897108,0.003588432,0.04724769,0.15,0.06,0.003588432,3.2414174,-1.4209311,-13.91329,3.2414174,22.225315,-43.910606,3.2414174,49.214897,296.84622
0,0,95,0.0,0.0,0.37254903,240.0,1.0,0.37254903,240.0,1.0,0.18627451,1.0,1.0,0.627451,1.0,1.0,0.0,0.627451,0.0,0.010798755,0.10976416,0.020653386,0.008261355,0.108774506,0.15,0.06,0.008261355,7.462451,-3.2712939,-32.031433,7.462451,37.72845,-61.33349,7.462451,72.00856,301.59717
0,0,127,0.0,0.0,0.49803922,240.0,1.0,0.49803922,240.0,1.0,0.24901961,1.0,1.0,0.5019608,1.0,1.0,0.0,0.5019608,0.0,0.020027269,0.20356756,0.038303573,0.01532143,0.20173216,0.15,0.06,0.01532143,12.810962,-5.6159053,-54.9891,12.810962,46.420017,-75.381775,12.810962,88.52814,301.62473
0,0,159,0.0,0.0,0.62352943,240.0,1.0,0.62352943,240.0,1.0,0.31176472,1.0,1.0,0.3764706,1.0,1.0,0.0,0.3764706,0.0,0.03271691,0.3325517,0.06257342,0.025029369,0.32955337,0.15,0.06,0.025029369,17.931883,-7.8607492,-76.96987,17.931883,54.670807,-88.7803,17.931883,104.26331,301.62473
0,0,191,0.0,0.0,0.7490196,240.0,1.0,0.7490196,240.0,1.0,0.3745098,1.0,1.0,0.2509804,1.0,1.0,0.0,0.2509804,0.0,0.049164023,0.49972868,0.094029695,0.037611876,0.49522305,0.15,0.06,0.037611876,22.865685,-10.023566,-98.14747,22.865685,62.620113,-101.689224,22.865685,119.42352,301.62473
0,0,223,0.0,0.0,0.8745098,240.0,1.0,0.8745098,240.0,1.0,0.4372549,1.0,1.0,0.1254902,1.0,1.0,0.0,0.1254902,0.0,0.069633305,0.7077891,0.13317865,0.05327146,0.70140755,0.15,0.06,0.05327146,27.64718,-12.119617,-118.6713,27.64718,70.32403,-114.19966,27.64718,134.11574,301.62473
0,0,255,0.0,0.0,1.0,240.0,1.0,1.0,240.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.09436553,0.9591803,0.1804808,0.07219232,0.95053214,0.15,0.06,0.07219232,32.300873,-14.159643,-138.64658,32.300873,77.82202,-126.37571,32.300873,148.41525,301.62473
0,31,0,0.0,0.12156863,0.0,120.0,1.0,0.12156863,120.0,1.0,0.060784314,1.0,0.8784314,1.0,1.0,0.0,1.0,0.8784314,0.0020358453,0.011598629,0.001532556,0.0048996503,0.009799301,0.0016332167,0.3,0.6,0.009799301,8.823119,-9.653101,8.536552,8.823119,-18.245745,12.129846,8.823119,21.909822,146.38388
0,31,31,0.0,0.12156863,0.12156863,180.0,1.0,0.12156863,180.0,1.0,0.060784314,1.0,0.8784314,0.8784314,1.0,0.0,0.0,0.8784314,9.002897e-4,0.012891633,0.014675324,0.007372613,0.010788485,0.014657487,0.22464749,0.32873097,0.010788485,9.631743,-8.867345,-4.08098,9.631743,-11.745295,-7.9907107,9.631743,14.205752,214.22874
0,31,63,0.0,0.12156863,0.24705882,210.4762,1.0,0.24705882,210.4762,1.0,0.12352941,1.0,0.8784314,0.7529412,1.0,0.50793654,0.0,0.7529412,0.0,0.016289216,0.049210116,0.013870731,0.013387733,0.048880905,0.18217553,0.17583194,0.013387733,11.544,-8.345049,-23.203146,11.544,2.8792305,-30.473976,11.544,30.60969,275.39737
0,31,95,0.0,0.12156863,0.37254903,220.42105,1.0,0.37254903,220.42105,1.0,0.18627451,1.0,0.8784314,0.627451,1.0,0.67368424,0.0,0.627451,0.0,0.022397384,0.11129671,0.025553036,0.018060654,0.11040772,0.16590574,0.11726068,0.018060654,14.43471,-8.691918,-42.99367,14.43471,17.886963,-49.819252,14.43471,52.93299,289.75003
0,31,127,0.0,0.12156863,0.49803922,225.35432,1.0,0.49803922,225.35432,1.0,0.24901961,1.0,0.8784314,0.5019608,1.0,0.7559055,0.0,0.5019608,0.0,0.031625897,0.20510012,0.043203223,0.02512073,0.20336537,0.15901701,0.092461236,0.02512073,17.973118,-9.672572,-62.7579,17.973118,31.153887,-66.818085,17.973118,73.72395,294.99725
0,31,159,0.0,0.12156863,0.62352943,228.30188,1.0,0.62352943,228.30188,1.0,0.31176472,1.0,0.8784314,0.3764706,1.0,0.8050314,0.0,0.3764706,0.0,0.044315543,0.33408424,0.06747307,0.03482867,0.33118656,0.15565142,0.08034512,0.03482867,21.882353,-11.013223,-82.530045,21.882353,42.7561,-82.21204,21.882353,92.66555,297.47763
0,31,191,0.0,0.12156863,0.7490196,230.26178,1.0,0.7490196,230.26178,1.0,0.3745098,1.0,0.8784314,0.2509804,1.0,0.8376963,0.0,0.2509804,0.0,0.060762655,0.50126123,0.098929346,0.047411177,0.49685627,0.15380883,0.073711775,0.047411177,25.984106,-12.551696,-102.21864,25.984106,53.108578,-96.49789,25.984106,110.14701,298.82663
